y, x_0
9.033571739730675176e+00 9.908945368945083487e+00
-2.481209982095869009e+02 -4.371053960898743185e+01
-4.993526950942275562e+02 -8.454208678416546263e+01
-3.912679533600160653e+01 -1.110610080563938595e+01
-1.188151777917998970e+02 -5.438406048902933776e+00
-4.306354804213943908e+02 -9.029559981871082641e+01
-3.119019557464567356e+02 -6.733511035834665392e+01
-3.986124808818091196e+02 -7.680985770041111493e+01
3.172298792122052191e+01 2.547833654088520916e+01
3.366284358912743642e+02 7.123640971912487885e+01
9.603029640524763977e+01 3.002048421751050000e+01
4.917157581877447683e+02 9.814433695156000681e+01
-9.514642984523069913e+01 -5.929850319242916612e+00
2.162507873920872328e+02 2.365889671347163414e+01
-2.124302052790261541e+02 -4.346655869376652248e+01
4.051412099709056065e+02 9.520066316350832381e+01
1.271964996814935773e+02 3.461359982633504728e+01
-5.956627102417705544e+01 -1.189382224509110131e+01
-2.248648751771538912e+02 -4.206253194958102881e+01
1.926560203891323653e+00 1.939936809428260744e+00
-4.082917326686784918e+02 -7.750782084080107381e+01
-2.412426656233114954e+02 -5.460904213154282871e+01
-6.057278621077384884e+01 -4.289539067661081617e+00
-2.365360710258799486e+02 -5.144836864397739618e+01
-8.376416615819630351e+01 -2.240349647856660908e+01
2.777155009395096386e+02 6.377468551307529765e+01
-4.089451125990728997e+02 -8.509184296769068112e+01
4.858767295188938533e+02 8.462990780553383274e+01
-2.292810544210322519e+02 -5.502078359810842301e+01
1.407408323589064025e+02 4.127429692159921615e+01
-3.891600632262402542e+02 -7.788690864549774062e+01
2.051481970680169695e+02 2.020082470463727020e+01
-5.867875573300553071e+01 -1.864149238234125505e+01
3.490197544935643350e+02 6.736589008641126952e+01
-2.997120285106948927e+02 -4.999391443120817513e+01
5.817861602816101652e+00 -8.452401707870691894e+00
-3.541798084680085168e+01 1.148654053641516271e+01
-2.746948104956849761e+02 -4.960996004168896434e+01
-4.397416264853259236e+02 -7.795173554685351291e+01
1.186069790420540073e+02 4.532743926160483738e+01
-2.201913014915155316e+02 -3.798521249675552980e+01
3.205007049875918028e+02 6.515079309944107422e+01
-8.346748048606642101e+00 -9.666694670689281566e+00
-4.212121313603328758e+02 -8.117221417990150201e+01
3.247997773922650708e+02 7.744064752197232337e+01
1.505149340924726005e+02 4.835082559212190745e+01
-3.069254090935172599e+02 -7.561354491304020087e+01
3.297303150751336602e+02 7.117381433672576918e+01
-4.408067305724243283e+02 -8.661234576233012206e+01
-2.338594856060105940e+02 -6.320960282849394929e+01
-3.846488808743866343e+02 -6.556663653871370911e+01
3.385032263404200989e+02 8.445559549155314016e+01
2.013149250140850199e+02 3.326649424469349015e+01
-4.202411288603688035e+02 -4.898864893263934306e+01
-2.303378411357467428e+02 -4.973674943242967572e+01
4.766698405102831657e+02 9.680731300764503544e+01
1.154966545693388440e+02 3.575907486646082134e+01
-9.422366168848434143e+01 -1.952574320886306225e+01
-3.577176662691130673e+02 -8.716554080678152161e+01
-9.113323519975151044e+01 -1.122517478331471352e+01
-1.872895570697183700e+02 -5.858167434507970484e+01
-1.992229285494186968e+02 -3.548200925580904652e+01
1.075011416448538171e+01 2.989719006552661540e+01
1.700316545094013065e+02 4.480247417396924448e+01
5.487769465857130058e+01 -6.333500532782608161e+00
-3.393574934388917654e+02 -6.245085436981410254e+01
-9.630360170274173015e+01 -4.072251186369160081e+01
-3.227478011934397273e+02 -7.196163691445447341e+01
-4.191199452825666754e+02 -8.104606836907743173e+01
-1.740571084178028016e+01 -1.647368593595516018e+00
4.391577409115761839e+02 9.815574064572979296e+01
3.558696391844113123e+02 7.596270530007495836e+01
-3.648655766981723900e+02 -6.774423585571386752e+01
-1.716578351015369890e+02 -3.901734085512727290e+01
1.679604267088508323e+02 2.095904345727950613e+01
3.460011187694678938e+02 8.806092668612461694e+01
2.611605436549090200e+02 4.662390011545255675e+01
-4.041376209258117456e+02 -9.211603942274675205e+01
-2.671238410320733010e+02 -6.800751380633136023e+01
-4.754487770695774316e+02 -8.715356571201451175e+01
-1.499155533827018587e+02 -1.108990661011294776e+01
2.976941710876060938e+02 6.795449785189632053e+01
9.006705979389178651e+01 1.150707476450966738e+01
5.320478886239320673e+02 9.758312856429310500e+01
2.661534630590355732e+02 5.263912056551609453e+01
3.472782807449935945e+02 8.817554584814567420e+01
1.648882199663431152e+02 4.534967923428806102e+01
-2.872832087791648519e+02 -4.947355086383422673e+01
3.959496867078775040e+02 8.149078044669712995e+01
1.740504210264099072e+02 3.694453762783012962e+01
-3.871569952020192318e+02 -7.895301651855166369e+01
1.555526093644805314e+02 2.084764052946523805e+01
2.775465892221440072e+02 4.745218644400094377e+01
-3.674299869002579726e+02 -5.255568423089093955e+01
4.144862062500380944e+02 9.779718191845913111e+01
2.126168984483104794e+02 6.815848001509669984e+01
-7.371055280201002802e+01 -1.337995209968612187e+01
1.554105380186366006e+02 4.455104144800748145e+01
1.425057129179072035e+02 3.372719709769833685e+01
-1.161670817571096848e+02 4.749899336263524674e+00
-1.878407952809506583e+02 -4.042310460654115190e+01
9.151521806272880610e+01 1.419714137504024620e+01
1.314306019875411948e+02 1.479757690099742717e+01
-5.604921294147122808e+02 -9.111568388357432013e+01
-1.089991585630507984e+02 -9.346951191552548721e+00
4.512254624806456604e+02 9.800141907418236542e+01
-2.995181738912812079e+02 -5.465680836721465141e+01
-1.727798588460888141e+01 -5.350530211755682330e+00
-4.572584316788892238e+02 -8.422921096002158947e+01
3.803064496155867005e+02 9.347777491050865706e+01
-7.470166708497180252e+01 -1.848452991910001231e+01
-5.695154956902565573e+02 -9.390533169612970710e+01
-4.214264120171288255e+02 -8.504866287523347523e+01
-4.481019264291207378e+02 -8.510939864975637192e+01
-9.807635518805847141e+01 -2.533983748632071809e+01
-3.097895262133749839e+02 -6.309571933876634375e+01
-3.550368313272579712e+02 -7.422294071395279502e+01
-4.149767134254707344e+02 -5.273797898996836864e+01
-4.395806110633875363e+01 -1.855703618815213929e+01
-4.570482249794031873e+02 -8.592602926577194467e+01
-1.002990667870615766e+02 -3.089318377700031704e+01
-3.343551582731508915e+02 -7.046942735581313855e+01
-2.701163447826434094e+01 -2.385802041628024028e+01
1.287766266353384026e+02 4.750975382746614173e+01
3.665632264701727081e+02 7.485525875798737161e+01
4.161791693089452338e+02 8.588477724013924330e+01
-3.685230086139551418e+02 -7.729752863758385217e+01
1.212041544903030825e+02 6.922470420465387519e+00
-8.117081210772246891e+01 -1.728597980983745686e+01
4.399745790252309234e+02 9.296038011752446550e+01
4.321410667507831960e+01 2.092296663445713989e+01
3.268969434161335244e+02 6.195942611885843121e+01
