y,x_0
-1.347055693387657698e+02,4.406489868843161162e+01
1.395912513917075728e+02,-9.997712503653102090e+01
-1.050197749316910603e+02,-3.953348547363204801e+01
-4.753415096000487949e+01,-7.064882183657738324e+01
4.690597784085575483e+01,-8.153228104624044192e+01
1.216072218109707563e+02,-6.274795772446582021e+01
1.000153661333697812e+02,-3.088785459139045031e+01
-5.636401275801327415e+01,-2.064650515386601626e+01
-2.129691204010619998e+01,7.763346800671385495e+00
-8.141433883546405070e+01,-1.616109711934103643e+01
2.573702742275755639e+01,3.704390007935188578e+01
-4.374295070523403695e+01,-5.910955005369651616e+01
-7.553970915578869949e+01,7.562348727818908856e+01
1.362147761373312278e+02,-9.452248136041477267e+01
-4.583205696559843290e+01,3.409350203568044435e+01
9.773627333223575420e+01,-1.653903952657461218e+01
-6.613753274691691786e+01,1.173796568915032879e+01
7.763425927117856418e+01,-7.192261228095324554e+01
9.710168684954449247e+01,-6.037970218302424286e+01
-6.249017737494368419e+01,6.014891373510732819e+01
1.270931460851073780e+00,9.365231514387949119e+01
5.965403967801388774e+01,-3.731516436815142868e+01
-1.343611765156036881e+02,3.846452313386282640e+01
1.708550168859230212e+02,7.527783045920764948e+01
-3.076583182957952545e+01,7.892133270076945450e+01
7.110788584670272883e+01,-8.299115772604442043e+01
-1.162925979935197063e+01,-9.218904335342352852e+01
5.550257817587644382e+01,-6.603391608708622584e+01
-9.454869433099584342e+01,7.562850068588261365e+01
1.011208582907050300e+02,-8.033063323338998885e+01
3.119576897746985011e+01,-1.577847499898956585e+01
3.099394780711568842e+01,9.157790603010039376e+01
-1.166006107387699942e+00,6.633056994603407475e+00
-5.229938456728397966e+00,3.837542279009466029e+01
4.876658655843239387e+01,-3.689687379878741069e+01
-4.405744512172886118e+01,3.730018553631674649e+01
-7.073425743530702903e+01,6.692513437947457078e+01
1.418058475366970015e+02,-9.634234453116164332e+01
1.091569804045896319e+00,5.002886298899349526e+01
-1.230930332538912921e+02,9.777221778129893437e+01
