Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09838946908712387,0.09881722564755765,0.09838946908712387,0.09838946908712387,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09368421533033078,0.09368421533033078,0.09325645864009857,0.09325645864009857,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.0868393760919364,0.0868393760919364,0.08641162514686584,0.08641162514686584,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08855035901069641,0.08897811551130588,0.08855035901069641,0.08855035901069641,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09111768007278442,0.09154543099401138,0.09111768007278442,0.09111768007278442,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09667850285768509,0.09710625963310365,0.09667850285768509,0.09667850285768509,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10138378292322159,0.10181230494771956,0.10138378292322159,0.10138378292322159,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10566205531358719,0.10608981189446903,0.10566205531358719,0.10566205531358719,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11122286319732666,0.11165061980359646,0.11122286319732666,0.11122286319732666,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12148971110582352,0.1219174676858828,0.12148971110582352,0.12148971110582352,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.1232006773352623,0.1236284337463455,0.1232006773352623,0.1232006773352623,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12063420554071541,0.12063420554071541,0.12020646035671234,0.12020646035671234,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11721218764981767,0.11721218764981767,0.11678443104028702,0.11678443104028702,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11806768923997879,0.11892320245754805,0.11806768923997879,0.11806768923997879,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11592890307155514,0.11592890307155514,0.11550115793943405,0.11550115793943405,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11079506949041391,0.11079506949041391,0.1103673130273819,0.1103673130273819,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10608981189446903,0.10608981189446903,0.10566205531358719,0.10566205531358719,55686400,0.0,0.0
