y,x_0
-2.978108962554316008e+01,7.724186193789378763e+00
-2.794031527695425154e+01,2.379596491726005070e+00
2.141173225264199331e+01,2.205144542259927221e+01
1.420678438770412910e+01,-1.402203277761657318e+00
-1.191119660571198438e+02,-5.710760044171296812e+01
-1.668939847442572955e+02,-5.120399614248376707e+01
1.712610730709884876e+01,1.441890519567947138e+01
-3.500507687622547337e+01,5.452573274501185097e+01
-8.814807328977323664e+01,-3.787440962037085512e+01
-5.570399361979542618e+01,-1.918336512148721340e+01
1.950233586275295750e+00,1.936000956785034077e+01
-9.550111300142873461e+01,-5.171304662427657917e+01
6.284108373316762908e+01,8.114396828678087559e+01
-8.240748301178389568e+01,-6.815763299820791588e+01
-1.893765915956464596e-01,1.773273513590787331e+01
-2.052302472218498224e+02,-4.760568671784219674e+01
3.925805683157696535e+01,7.526794407406038090e+01
1.247685323167211777e+02,8.381508614942600843e+01
-1.856553053708820755e+02,-7.900541902264733096e+01
1.638040349870612999e+02,9.413622188311882155e+01
-7.768689027800525082e+01,-9.131452850814312683e+01
-1.577783712317512368e+02,-9.319122973394442511e+01
-4.445987909557521078e+01,6.516174321552739457e+00
-1.536300611623087775e+02,-9.450909093062193733e+01
-5.713611840524219332e+01,-3.250059834641044176e+01
-1.516046830573408499e+02,-6.133280852438534225e+01
-1.326509805842947856e+02,-4.626399672431735866e+01
1.704261082650912726e+02,9.537464689747662305e+01
4.435580184764359046e+01,8.943311203944733734e+01
2.285761684841232722e+01,6.397710050039708563e+01
-1.053176106838316031e+02,3.104500721403496755e+01
-1.038939208934516216e+02,-8.891371001755186398e+01
1.053589856460222194e+02,3.783217080729917825e+01
7.561600317030455187e+01,2.735708456832625757e+01
4.283867029011818062e+01,2.055517527910710385e+01
-5.380040768143768304e+01,-7.571158429521545941e+01
-1.011193394167590043e+02,-5.742575488927117533e+01
5.649973622514035299e+01,1.487614182672444940e+00
1.508364669978086070e+01,-4.680355409860069926e+00
-8.460436128540543166e+01,-8.371756444052003587e+01
2.598518414586138192e+01,-2.859849160235144439e+01
6.719746846911959892e+01,4.663921602790600218e+01
1.076303814802461574e+02,4.622858782824798141e+01
-3.562973838804680327e+01,-7.639183011963163494e+01
-1.198970793499002951e+02,-9.157820756697859110e+01
-2.585874198214860087e+00,-3.622900445668209102e+01
1.262192239346177871e+02,6.775262943694201567e+01
2.702255977099317619e+01,2.157581973645331175e+01
-4.875958381848251122e+01,-8.456830216795935939e+01
-1.824494800603881117e+01,-4.685497580695840725e+01
9.083945221127160607e+01,1.728232189125593266e+01
-4.910667744006605773e+00,-1.521300437531276373e+01
-1.467520834100376703e+01,2.692771892615748186e+01
-1.261698237300043814e+02,-8.976136353661901524e+01
-5.876112228425945716e+00,1.718471324687097024e+01
1.511685386898834054e+02,9.279625217544864313e+01
-2.006796006405957371e+02,-9.888885070143582823e+01
-5.618653616781357130e+01,3.769724933392350863e+01
3.590068565744068962e+01,7.959333479296242331e+01
1.674575772982910848e+02,5.860140031500296232e+01
